AssetID,Hostname,IP,OS,LastScannedAt,IsStale,LastSeenAt
176920,XASWP005-101038,10.101.38.29,,NULL,1,2026-03-12 16:07:10.0733333
176921,XASWP008-101032,10.101.32.25,,NULL,1,2026-03-12 16:07:10.1700000
176922,XASWP013-101032,10.101.32.27,,NULL,1,2026-03-03 16:20:27.6600000
176923,XASWP001-101038,10.101.38.31,,NULL,1,2026-03-11 18:16:16.1300000
176924,DSPWP007-101032,10.101.32.24,,NULL,1,2026-03-12 16:07:10.1100000
176925,XASWP006-101038,10.101.38.13,,NULL,1,2026-03-11 18:16:16.1433333
176926,XASWP009-101032,10.101.32.19,,NULL,1,2026-03-22 08:03:59.2200000
176927,XASWP002-101038,10.101.38.28,,NULL,1,2026-03-16 00:26:24.6233333
176928,XASWP001-101076,10.101.76.7,,NULL,1,2026-03-12 16:07:10.2133333
176929,DSPWP001-101076,10.101.76.12,,NULL,1,2026-03-12 16:07:10.3133333
176930,DSPWP001-101074,10.101.74.9,,NULL,1,2026-03-12 16:07:10.2000000
176931,XASWP001-101064,10.101.64.7,,NULL,1,2026-03-12 16:07:10.1400000
176932,DSPWP002-101070,10.101.70.13,,NULL,1,2026-03-12 16:07:10.2700000
176933,DSPWP007-101070,10.101.70.18,,NULL,1,2026-03-12 16:07:10.2433333
176934,XASWP001-101072,10.101.72.8,,NULL,1,2026-03-12 16:07:10.2266667
176935,XASWP001-101074,10.101.74.5,,NULL,1,2026-03-12 16:07:10.3000000
